Fecha del cambio;Sueldo Minimo;Ley;Promulgacion
01-07-2024;500000;21.578;30-05-2022
01-09-2023;460000;21.578;30-05-2022
01-05-2023;440000;21.456;26-05-2022
01-01-2023;410000;21.456;26-05-2022
01-08-2022;400000;21.456;26-05-2022
01-05-2022;380000;21.456;26-05-2022
01-01-2022;350000;21.360;05-07-2021
01-05-2021;337000;21.360;05-07-2021
01-09-2020;326500;21.283;02-10-2020
01-03-2020;320500;21.112;14-09-2018
01-03-2019;301000;21.112;14-09-2018
01-09-2018;288000;21.112;14-09-2018
01-01-2018;276000;20.935;30-06-2016
01-07-2017;270000;20.935;30-06-2016
01-01-2017;264000;20.935;30-06-2016
01-07-2016;257500;20.935;30-06-2016
01-01-2016;250000;20.763;14-07-2014
01-07-2015;241000;20.763;14-07-2014
01-07-2014;225000;20.763;14-07-2014
01-08-2013;210000;20.689;23-08-2013
01-07-2012;193000;20.614;19-07-2012
01-07-2011;182000;20.524;13-07-2011
01-07-2010;172000;20.449;01-07-2010
01-07-2009;165000;20.359;22-06-2009
01-07-2008;159000;20.279;26-06-2008
01-01-2008;145000;20.204;27-06-2006
01-07-2007;144000;20.204;27-06-2006
01-07-2006;135000;20.039;30-06-2005
01-07-2005;127500;20.039;30-06-2005
01-07-2004;120000;19.956;20-06-2004
01-07-2003;115648;19.883;30-06-2003
01-06-2002;111200;19.811;22-05-2002
01-06-2001;105500;19.729;14-05-2001
01-06-2000;100000;19.564;20-05-1998
01-06-1999;90500;19.564;20-05-1998
01-06-1998;80500;19.564;20-05-1998
01-06-1997;71400;19.502;19-05-1997
01-06-1996;65500;19.457;16-05-1996
01-06-1995;58900;19.392;19-05-1995
01-06-1994;52150;19.307;23-05-1994
01-06-1993;46000;19.222;24-05-1993
01-06-1992;38600;19.142;25-05-1992
01-06-1991;33000;19.060;22-05-1991
01-06-1990;26000;18.981;28-05-1990
01-06-1989;18000;18.806;13-06-1989
01-02-1989;15488;18.774;09-01-1989
01-09-1987;11335;18.647;02-09-1987
01-09-1987;9446;18.647;02-09-1987
